ts,symbol,side,qty,price,pnl
2025-07-01T00:54:02.243944,BTCUSDT,sell,0.006,107288.6,0.0
2025-07-01T00:54:02.244945,BTCUSDT,short,0.006,107294.4,0.0
2025-07-01T01:01:01.261759,BTCUSDT,buy,0.006,107349.5,0.0
2025-07-01T01:01:01.261759,BTCUSDT,close,0.006,107349.5,0.3306000000000349
2025-07-01T01:01:02.865348,BTCUSDT,sell,0.009,107348.2,0.0
2025-07-01T01:01:02.866353,BTCUSDT,short,0.009,107349.5,0.0
2025-07-01T01:08:01.372542,BTCUSDT,buy,0.009,107398.8,0.0
2025-07-01T01:08:01.373546,BTCUSDT,close,0.009,107398.8,0.4437000000000262
2025-07-01T01:08:03.003681,BTCUSDT,sell,0.003,107396.3,0.0
2025-07-01T01:08:03.004815,BTCUSDT,short,0.003,107398.8,0.0
2025-07-01T01:15:01.604782,BTCUSDT,buy,0.003,107431.3,0.0
2025-07-01T01:15:01.604782,BTCUSDT,close,0.003,107431.3,0.0975
2025-07-01T01:15:02.702392,BTCUSDT,sell,0.003,107430.1,0.0
2025-07-01T01:15:02.703392,BTCUSDT,short,0.003,107431.3,0.0
2025-07-01T01:42:02.176532,BTCUSDT,buy,0.003,107286.46667,0.0
2025-07-01T01:42:02.177536,BTCUSDT,close,0.003,107288.2,-0.42930000000001745
2025-07-01T01:42:03.777777,BTCUSDT,sell,0.005,107282.9,0.0
2025-07-01T01:42:03.779220,BTCUSDT,short,0.005,107288.2,0.0
2025-07-01T01:48:01.183978,BTCUSDT,buy,0.005,107331.6,0.0
2025-07-01T01:48:01.184976,BTCUSDT,close,0.005,107331.4,0.21599999999998545
2025-07-01T01:48:02.800139,BTCUSDT,sell,0.004,107331.4,0.0
2025-07-01T01:48:02.801148,BTCUSDT,short,0.004,107331.4,0.0
2025-07-01T01:52:00.967725,BTCUSDT,buy,0.004,107251.9,0.0
2025-07-01T01:52:00.968729,BTCUSDT,close,0.004,107246.3,-0.34039999999996506
2025-07-01T01:52:02.581500,BTCUSDT,sell,0.004,107246.3,0.0
2025-07-01T01:52:02.581500,BTCUSDT,short,0.004,107246.3,0.0
2025-07-01T01:54:01.437140,BTCUSDT,buy,0.004,107160.1,0.0
2025-07-01T01:54:01.438307,BTCUSDT,close,0.004,107160.1,-0.34479999999998834
2025-07-01T01:54:03.054099,BTCUSDT,sell,0.003,107160.0,0.0
2025-07-01T01:54:03.055102,BTCUSDT,short,0.003,107160.1,0.0
2025-07-01T01:57:03.998179,BTCUSDT,buy,0.003,107189.3,0.0
2025-07-01T01:57:03.998179,BTCUSDT,close,0.003,107189.3,0.08759999999999127
2025-07-01T01:57:05.628055,BTCUSDT,sell,0.003,107189.2,0.0
2025-07-01T01:57:05.629055,BTCUSDT,short,0.003,107189.3,0.0
2025-07-01T02:06:01.792489,BTCUSDT,buy,0.003,107236.0,0.0
2025-07-01T02:06:01.793496,BTCUSDT,close,0.003,107236.0,0.14009999999999126
2025-07-01T02:06:03.428839,BTCUSDT,sell,0.003,107235.9,0.0
2025-07-01T02:06:03.428839,BTCUSDT,short,0.003,107236.0,0.0
2025-07-01T02:20:01.361331,BTCUSDT,buy,0.003,107282.7,0.0
2025-07-01T02:20:01.361331,BTCUSDT,close,0.003,107281.3,0.13590000000000874
2025-07-01T02:20:02.970649,BTCUSDT,sell,0.003,107278.5,0.0
2025-07-01T02:20:02.971798,BTCUSDT,short,0.003,107281.3,0.0
2025-07-01T02:31:00.731320,BTCUSDT,buy,0.003,107336.0,0.0
2025-07-01T02:31:00.732341,BTCUSDT,close,0.003,107335.8,0.1635
2025-07-01T02:31:02.334279,BTCUSDT,sell,0.003,107335.8,0.0
2025-07-01T02:31:02.334279,BTCUSDT,short,0.003,107335.8,0.0
2025-07-01T02:42:03.557779,BTCUSDT,buy,0.003,107230.66667,0.0
2025-07-01T02:42:03.558787,BTCUSDT,close,0.003,107230.4,-0.3162000000000262
2025-07-01T02:42:05.180411,BTCUSDT,sell,0.003,107230.26667,0.0
2025-07-01T02:42:05.181422,BTCUSDT,short,0.003,107230.4,0.0
2025-07-01T02:48:00.503774,BTCUSDT,buy,0.003,107133.1,0.0
2025-07-01T02:48:00.504773,BTCUSDT,close,0.003,107133.1,-0.2918999999999651
2025-07-01T02:48:01.600042,BTCUSDT,sell,0.002,107132.1,0.0
2025-07-01T02:48:01.600042,BTCUSDT,short,0.002,107133.1,0.0
2025-07-01T03:27:01.183738,BTCUSDT,buy,0.002,107172.4,0.0
2025-07-01T03:27:01.184775,BTCUSDT,close,0.002,107172.3,0.07839999999999418
2025-07-01T03:27:02.807383,BTCUSDT,sell,0.003,107172.3,0.0
2025-07-01T03:27:02.808383,BTCUSDT,short,0.003,107172.3,0.0
2025-07-01T03:46:01.203019,BTCUSDT,buy,0.003,107078.5,0.0
2025-07-01T03:46:01.204043,BTCUSDT,close,0.003,107072.1,-0.30059999999999126
2025-07-01T03:46:02.813147,BTCUSDT,sell,0.004,107072.1,0.0
2025-07-01T03:46:02.813147,BTCUSDT,short,0.004,107072.1,0.0
2025-07-01T03:52:02.621484,BTCUSDT,buy,0.004,107100.3,0.0
2025-07-01T03:52:02.622835,BTCUSDT,close,0.004,107100.3,0.11279999999998835
2025-07-01T03:52:04.248924,BTCUSDT,sell,0.005,107100.2,0.0
2025-07-01T03:52:04.248924,BTCUSDT,short,0.005,107100.3,0.0
2025-07-01T03:53:01.211636,BTCUSDT,buy,0.005,107120.0,0.0
2025-07-01T03:53:01.211636,BTCUSDT,close,0.005,107119.9,0.09799999999995634
2025-07-01T03:53:02.307339,BTCUSDT,sell,0.005,107119.9,0.0
2025-07-01T03:53:02.308359,BTCUSDT,short,0.005,107119.9,0.0
2025-07-01T04:00:01.929874,BTCUSDT,buy,0.005,107168.4,0.0
2025-07-01T04:00:01.930876,BTCUSDT,close,0.005,107171.1,0.25600000000005824
2025-07-01T04:00:03.560835,BTCUSDT,sell,0.003,107167.5,0.0
2025-07-01T04:00:03.561844,BTCUSDT,short,0.003,107171.1,0.0
2025-07-01T04:05:01.021270,BTCUSDT,buy,0.003,107306.5,0.0
2025-07-01T04:05:01.022498,BTCUSDT,close,0.003,107300.0,0.38669999999998256
2025-07-01T04:05:02.715233,BTCUSDT,sell,0.003,107300.0,0.0
2025-07-01T04:05:02.716259,BTCUSDT,short,0.003,107300.0,0.0
2025-07-01T04:06:01.666502,BTCUSDT,buy,0.003,107170.3,0.0
2025-07-01T04:06:01.667619,BTCUSDT,close,0.003,107168.4,-0.39480000000001747
2025-07-01T04:06:03.276919,BTCUSDT,sell,0.002,107168.4,0.0
2025-07-01T04:06:03.276919,BTCUSDT,short,0.002,107168.4,0.0
2025-07-01T04:08:01.191572,BTCUSDT,buy,0.002,107296.1,0.0
2025-07-01T04:08:01.192952,BTCUSDT,close,0.002,107296.1,0.2554000000000233
2025-07-01T04:08:02.780842,BTCUSDT,sell,0.002,107290.0,0.0
2025-07-01T04:08:02.781845,BTCUSDT,short,0.002,107296.1,0.0
2025-07-01T04:17:03.988831,BTCUSDT,buy,0.002,107095.7,0.0
2025-07-01T04:17:03.989837,BTCUSDT,close,0.002,107095.6,-0.401
2025-07-01T04:17:05.601594,BTCUSDT,sell,0.001,107095.6,0.0
2025-07-01T04:17:05.602598,BTCUSDT,short,0.001,107095.6,0.0
2025-07-01T04:53:01.377708,BTCUSDT,buy,0.001,106844.1,0.0
2025-07-01T04:53:01.378727,BTCUSDT,close,0.001,106846.0,-0.24960000000000582
2025-07-01T04:53:02.990541,BTCUSDT,sell,0.003,106843.8,0.0
2025-07-01T04:53:02.990541,BTCUSDT,short,0.003,106846.0,0.0
2025-07-01T05:02:04.041209,BTCUSDT,buy,0.003,106881.5,0.0
2025-07-01T05:02:04.042222,BTCUSDT,close,0.003,106885.4,0.11819999999998254
2025-07-01T05:02:05.130980,BTCUSDT,sell,0.004,106881.0,0.0
2025-07-01T05:02:05.131980,BTCUSDT,short,0.004,106885.4,0.0
2025-07-01T05:06:01.367115,BTCUSDT,buy,0.004,107012.3,0.0
2025-07-01T05:06:01.368208,BTCUSDT,close,0.004,107012.4,0.508
2025-07-01T05:06:02.443843,BTCUSDT,sell,0.003,107007.1,0.0
2025-07-01T05:06:02.444849,BTCUSDT,short,0.003,107012.4,0.0
2025-07-01T05:07:03.975805,BTCUSDT,buy,0.003,106854.2,0.0
2025-07-01T05:07:03.976831,BTCUSDT,close,0.003,106854.1,-0.4748999999999651
2025-07-01T05:07:05.589630,BTCUSDT,sell,0.002,106852.7,0.0
2025-07-01T05:07:05.589630,BTCUSDT,short,0.002,106854.1,0.0
2025-07-01T05:13:01.621672,BTCUSDT,buy,0.002,106734.1,0.0
2025-07-01T05:13:01.621672,BTCUSDT,close,0.002,106733.2,-0.24180000000001747
2025-07-01T05:13:03.229418,BTCUSDT,sell,0.001,106733.2,0.0
2025-07-01T05:13:03.230581,BTCUSDT,short,0.001,106733.2,0.0
2025-07-01T05:33:00.970754,BTCUSDT,buy,0.001,106851.2,0.0
2025-07-01T05:33:00.972015,BTCUSDT,close,0.001,106849.1,0.11590000000000873
2025-07-01T05:33:02.577699,BTCUSDT,sell,0.002,106849.1,0.0
2025-07-01T05:33:02.578708,BTCUSDT,short,0.002,106849.1,0.0
2025-07-01T05:58:03.023822,BTCUSDT,buy,0.002,106900.2,0.0
2025-07-01T05:58:03.024831,BTCUSDT,close,0.002,106900.1,0.10200000000000001
2025-07-01T05:58:04.645316,BTCUSDT,sell,0.003,106900.1,0.0
2025-07-01T05:58:04.645316,BTCUSDT,short,0.003,106900.1,0.0
2025-07-01T06:00:01.334897,BTCUSDT,buy,0.003,106955.2,0.0
2025-07-01T06:00:01.334897,BTCUSDT,close,0.003,106972.3,0.21659999999999127
2025-07-01T06:00:02.943161,BTCUSDT,sell,0.002,106950.0,0.0
2025-07-01T06:00:02.943161,BTCUSDT,short,0.002,106972.3,0.0
2025-07-01T06:02:03.992170,BTCUSDT,buy,0.002,106825.1,0.0
2025-07-01T06:02:03.993616,BTCUSDT,close,0.002,106824.5,-0.2956000000000058
2025-07-01T06:02:05.602640,BTCUSDT,sell,0.002,106824.4,0.0
2025-07-01T06:02:05.602640,BTCUSDT,short,0.002,106824.5,0.0
2025-07-01T06:10:01.415470,BTCUSDT,buy,0.002,106900.8,0.0
2025-07-01T06:10:01.416474,BTCUSDT,close,0.002,106900.1,0.15120000000001166
2025-07-01T06:10:03.033127,BTCUSDT,sell,0.001,106900.0,0.0
2025-07-01T06:10:03.034131,BTCUSDT,short,0.001,106900.1,0.0
2025-07-01T07:21:01.353030,BTCUSDT,buy,0.001,106600.1,0.0
2025-07-01T07:21:01.354049,BTCUSDT,close,0.001,106600.0,-0.3001000000000058
2025-07-01T07:21:02.970341,BTCUSDT,sell,0.002,106600.0,0.0
2025-07-01T07:21:02.970341,BTCUSDT,short,0.002,106600.0,0.0
2025-07-01T07:25:01.462773,BTCUSDT,buy,0.002,106654.7,0.0
2025-07-01T07:25:01.463776,BTCUSDT,close,0.002,106643.5,0.08700000000000001
2025-07-01T07:25:03.067601,BTCUSDT,sell,0.002,106646.6,0.0
2025-07-01T07:25:03.067601,BTCUSDT,short,0.002,106643.5,0.0
2025-07-01T07:28:01.450248,BTCUSDT,buy,0.002,106734.0,0.0
2025-07-01T07:28:01.451577,BTCUSDT,close,0.002,106734.0,0.181
2025-07-01T07:28:03.078919,BTCUSDT,sell,0.001,106733.8,0.0
2025-07-01T07:28:03.078919,BTCUSDT,short,0.001,106734.0,0.0
2025-07-01T07:30:01.381344,BTCUSDT,buy,0.001,106800.0,0.0
2025-07-01T07:30:01.382349,BTCUSDT,close,0.001,106800.0,0.066
2025-07-01T07:30:02.985645,BTCUSDT,sell,0.001,106799.9,0.0
2025-07-01T07:30:02.986705,BTCUSDT,short,0.001,106800.0,0.0
2025-07-01T07:31:01.245512,BTCUSDT,buy,0.001,106966.8,0.0
2025-07-01T07:31:01.246532,BTCUSDT,close,0.001,106966.7,0.1666999999999971
2025-07-01T07:31:02.851697,BTCUSDT,sell,0.001,106966.7,0.0
2025-07-01T07:31:02.852719,BTCUSDT,short,0.001,106966.7,0.0
2025-07-01T07:51:01.809375,BTCUSDT,buy,0.001,107123.3,0.0
2025-07-01T07:51:01.810377,BTCUSDT,close,0.001,107123.3,0.15660000000000582
2025-07-01T07:51:03.435807,BTCUSDT,sell,0.002,107122.5,0.0
2025-07-01T07:51:03.435807,BTCUSDT,short,0.002,107123.3,0.0
2025-07-01T08:04:01.445190,BTCUSDT,buy,0.002,106993.0,0.0
2025-07-01T08:04:01.446222,BTCUSDT,close,0.002,106991.9,-0.26280000000001746
2025-07-01T08:04:03.061013,BTCUSDT,sell,0.002,106991.9,0.0
2025-07-01T08:04:03.061013,BTCUSDT,short,0.002,106991.9,0.0
2025-07-01T08:13:01.649266,BTCUSDT,buy,0.002,106898.5,0.0
2025-07-01T08:13:01.650287,BTCUSDT,close,0.002,106898.5,-0.18679999999998836
2025-07-01T08:13:02.732571,BTCUSDT,sell,0.002,106898.4,0.0
2025-07-01T08:13:02.732571,BTCUSDT,short,0.002,106898.5,0.0
2025-07-01T08:40:02.340384,BTCUSDT,buy,0.002,106740.9,0.0
2025-07-01T08:40:02.341421,BTCUSDT,close,0.002,106740.9,-0.31520000000001164
2025-07-01T08:40:03.981691,BTCUSDT,sell,0.003,106739.9,0.0
2025-07-01T08:40:03.982716,BTCUSDT,short,0.003,106740.9,0.0
2025-07-01T08:57:01.458826,BTCUSDT,buy,0.003,106650.8,0.0
2025-07-01T08:57:01.459827,BTCUSDT,close,0.003,106649.1,-0.27539999999996506
2025-07-01T08:57:02.542304,BTCUSDT,sell,0.004,106647.4,0.0
2025-07-01T08:57:02.542304,BTCUSDT,short,0.004,106649.1,0.0
2025-07-01T09:05:01.123161,BTCUSDT,buy,0.004,106691.4,0.0
2025-07-01T09:05:01.123161,BTCUSDT,close,0.004,106691.2,0.16839999999996508
2025-07-01T09:05:02.233612,BTCUSDT,sell,0.003,106691.2,0.0
2025-07-01T09:05:02.234647,BTCUSDT,short,0.003,106691.2,0.0
2025-07-01T09:07:02.208117,BTCUSDT,buy,0.003,106725.2,0.0
2025-07-01T09:07:02.208117,BTCUSDT,close,0.003,106724.2,0.099
2025-07-01T09:07:03.822370,BTCUSDT,sell,0.003,106721.3,0.0
2025-07-01T09:07:03.822370,BTCUSDT,short,0.003,106724.2,0.0
2025-07-01T09:18:02.367891,BTCUSDT,buy,0.003,106625.5,0.0
2025-07-01T09:18:02.369190,BTCUSDT,close,0.003,106627.8,-0.2891999999999825
2025-07-01T09:18:03.956962,BTCUSDT,sell,0.002,106621.0,0.0
2025-07-01T09:18:03.957970,BTCUSDT,short,0.002,106627.8,0.0
2025-07-01T09:47:02.206814,BTCUSDT,buy,0.002,106473.6,0.0
2025-07-01T09:47:02.207817,BTCUSDT,close,0.002,106473.3,-0.309
2025-07-01T09:47:03.826452,BTCUSDT,sell,0.002,106473.3,0.0
2025-07-01T09:47:03.827473,BTCUSDT,short,0.002,106473.3,0.0
2025-07-01T09:57:01.135293,BTCUSDT,buy,0.002,106540.8,0.0
2025-07-01T09:57:01.136376,BTCUSDT,close,0.002,106540.8,0.135
2025-07-01T09:57:02.744524,BTCUSDT,sell,0.002,106533.7,0.0
2025-07-01T09:57:02.745527,BTCUSDT,short,0.002,106540.8,0.0
2025-07-01T10:12:01.112302,BTCUSDT,buy,0.002,106582.7,0.0
2025-07-01T10:12:01.113310,BTCUSDT,close,0.002,106582.7,0.08379999999998836
2025-07-01T10:12:02.733758,BTCUSDT,sell,0.003,106580.0,0.0
2025-07-01T10:12:02.734802,BTCUSDT,short,0.003,106582.7,0.0
2025-07-01T10:18:02.519391,BTCUSDT,buy,0.003,106464.9,0.0
2025-07-01T10:18:02.520549,BTCUSDT,close,0.003,106466.0,-0.35009999999999125
2025-07-01T10:18:03.602843,BTCUSDT,sell,0.002,106457.0,0.0
2025-07-01T10:18:03.602843,BTCUSDT,short,0.002,106466.0,0.0
2025-07-01T10:39:00.981764,BTCUSDT,buy,0.002,106369.2,0.0
2025-07-01T10:39:00.983772,BTCUSDT,close,0.002,106337.6,-0.25679999999998837
2025-07-01T10:39:02.078415,BTCUSDT,sell,0.002,106337.6,0.0
2025-07-01T10:39:02.079429,BTCUSDT,short,0.002,106337.6,0.0
2025-07-01T11:00:01.351694,BTCUSDT,buy,0.002,106400.0,0.0
2025-07-01T11:00:01.352704,BTCUSDT,close,0.002,106400.0,0.12479999999998836
2025-07-01T11:00:02.462013,BTCUSDT,sell,0.003,106388.1,0.0
2025-07-01T11:00:02.463034,BTCUSDT,short,0.003,106400.0,0.0
2025-07-01T11:02:01.151239,BTCUSDT,buy,0.003,106471.2,0.0
2025-07-01T11:02:01.151239,BTCUSDT,close,0.003,106471.2,0.21359999999999127
2025-07-01T11:02:03.269076,BTCUSDT,sell,0.002,106471.1,0.0
2025-07-01T11:02:03.270083,BTCUSDT,short,0.002,106471.2,0.0
2025-07-01T11:08:01.034565,BTCUSDT,buy,0.002,106520.4,0.0
2025-07-01T11:08:01.035616,BTCUSDT,close,0.002,106520.4,0.09839999999999419
2025-07-01T11:08:02.641819,BTCUSDT,sell,0.003,106520.2,0.0
2025-07-01T11:08:02.641819,BTCUSDT,short,0.003,106520.4,0.0
2025-07-01T11:15:01.280056,BTCUSDT,buy,0.003,106371.0,0.0
2025-07-01T11:15:01.280056,BTCUSDT,close,0.003,106330.9,-0.5685
2025-07-01T11:15:02.374631,BTCUSDT,sell,0.003,106330.9,0.0
2025-07-01T11:15:02.374631,BTCUSDT,short,0.003,106330.9,0.0
2025-07-01T11:22:03.613830,BTCUSDT,buy,0.003,106361.4,0.0
2025-07-01T11:22:03.614831,BTCUSDT,close,0.003,106359.1,0.08460000000003493
2025-07-01T11:22:05.216005,BTCUSDT,sell,0.002,106358.8,0.0
2025-07-01T11:22:05.217022,BTCUSDT,short,0.002,106359.1,0.0
2025-07-01T11:25:01.184800,BTCUSDT,buy,0.002,106437.8,0.0
2025-07-01T11:25:01.184800,BTCUSDT,close,0.002,106452.0,0.18579999999998836
2025-07-01T11:25:02.788023,BTCUSDT,sell,0.002,106433.3,0.0
2025-07-01T11:25:02.789190,BTCUSDT,short,0.002,106452.0,0.0
2025-07-01T11:35:02.538036,BTCUSDT,buy,0.002,106560.0,0.0
2025-07-01T11:35:02.539051,BTCUSDT,close,0.002,106559.9,0.21579999999998836
2025-07-01T11:35:04.146446,BTCUSDT,sell,0.003,106559.9,0.0
2025-07-01T11:35:04.147585,BTCUSDT,short,0.003,106559.9,0.0
2025-07-01T12:02:03.118206,BTCUSDT,buy,0.003,106602.6,0.0
2025-07-01T12:02:03.119207,BTCUSDT,close,0.003,106602.6,0.12810000000003494
